Updated on:,F2,F3,2022-11-28,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,Contact:,Food & Trade Statistics Branch - Tel 020 8026 3006  Email: familyfood@defra.gov.uk,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61
Next update:,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source:,"Adjusted National Food Survey data 1974 to 2000, Expenditure and Food Survey 2001-02 to 2007 and Living Costs and Food Survey 2008 onwards",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Units:,average per person per week,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantity of food and drink purchased for UK households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"needs formulas adding so match rest of datasets. Potatoes, errors etc..","needs formulas adding so match rest of datasets. Potatoes, errors etc..","needs formulas adding so match rest of datasets. Potatoes, errors etc..",,"needs formulas adding so match rest of datasets. Potatoes, errors etc..","needs formulas adding so match rest of datasets. Potatoes, errors etc..","needs formulas adding so match rest of datasets. Potatoes, errors etc..",,,,,,,,,,,,,,,,,
averages per person per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Food Category,Food Group,Major Food Code,Minor Food Code,Units,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,201516,201617,201718,201819,201920,202021,RSE(a),% change since 201718,% change since 201920,sig(b),trend since 201617(c),,reliability of 3 year percent relative SE
cat520,Milk and milk products excluding cheese,,,,ml,2977.99660364603,2987.20311657532,2961.37907130554,2854.6933036992,2809.40188571524,2765.01823871684,2686.63847459897,2611.69105776502,2577.65280786495,2521.70125124868,2526.25613277816,2414.31957903227,2430.53155349686,2383.37255222725,2350.71868455084,2305.07943335455,2234.54377471831,2197.47955542909,2298.25776858583,2252.25462197324,2265.10185258542,2244.5005064745,2179.92829361056,2173.18655006398,2126.78200889895,2085.63263476759,2163.5691623733,2033.0736524123211,2006.4029302360077,2041.1771714368799,1995.7676997844342,2027.2744868837226,2021.5948732365057,1983.6050941458611,1957.09364342369,2003.3154351126063,1897.3810743903127,1904.2138581737447,1900.67010578629,1847.00196685704,1848.92150089819,1826.98109410257,1806.65548230904,1818.45727752381,1786.16575194575,1839.61039742925,1745.58541376413,1790.62131036643,üüü,0.24944820579086621,2.5799881373425144,,,,üüü
4006,,"Liquid wholemilk, including school and welfare",,,ml,2686.66671548944,2714.89900060456,2679.11613418296,2578.70887156139,2522.64949061114,2449.65311547595,2370.54352243749,2286.66161915506,2257.81803181964,2171.50111087289,2064.40397346753,1904.3850623418,1742.52703744023,1648.26319208338,1525.54427134325,1387.65076824494,1242.10573484426,1112.86882681293,1002.76849817464,904.905891465513,876.769815056513,817.824466916867,787.546912777892,724.962261443495,704.863838823653,646.183113441806,679.608238487069,608.87848516848237,571.56651719809634,602.11286248167391,496.8692183031219,475.23074182719756,489.70156287667146,431.91831295581778,419.98296225512,420.55477073159386,352.32792789234099,355.1553480023785,296.969453305306,285.466262688258,263.230694974197,312.153765965546,316.59102503239,299.527216407291,297.1418327947,328.82607467699,302.13063496678,310.978745995124,üü,4.6566695339677553,2.9285712881503616,,,,üü
4,,,"Liquid wholemilk, full price",,ml,2654.80807387834,2685.72820990655,2655.13165890902,2552.73722975265,2498.65487515972,2423.87301909873,2349.16278540428,2257.83335524715,2232.45760192171,2126.50981551869,2027.99402400153,1859.96834233725,1690.81322304824,1602.20389889081,1491.50774858262,1360.19300810642,1216.64030619003,1090.71915633537,967.730308001896,867.522599629177,841.536407201504,784.569226756745,761.941993347563,696.712641481225,678.385732249565,616.451181720002,653.249582175853,598.61764509903173,555.4424346437537,584.65612932231284,484.37251570784531,460.38415394015908,477.3214874587232,420.48845685726923,410.416636458573,411.75033510962265,352.32792789234099,355.1553480023785,296.969453305306,285.466262688258,263.230694974197,312.153765965546,316.59102503239,299.527216407291,297.1418327947,328.82607467699,302.13063496678,310.978745995124,üü,4.6566695339677553,2.9285712881503616,,,,üü
402,,,,UHT milk,ml,26.5480807387834,26.8572820990655,26.5513165890902,25.5273722975265,24.9865487515972,24.2387301909873,23.4916278540428,22.5783335524715,22.3245760192171,21.2650981551869,14.5300555023367,11.9918835333028,13.6541606914903,10.3976345918428,12.2879619078966,11.3181818765376,11.2181259891787,13.8620026848358,12.0201826817584,10.3415076867902,17.4046758942795,11.2178488131807,48.7514022656391,14.7507159679583,12.5014153240973,8.0650153398523,9.07651626521445,7.9036224942897277,5.4492003500046318,20.613463149977488,18.339856352373797,11.525758968674609,11.300577477093148,10.9922638217827,8.87723432166539,9.9997033990331694,7.7838014013160732,4.0371755300053076,2.98217670197571,2.7811552530192,3.03175626620218,4.79403123631517,5.3049728862521,1.96914695589754,6.58989351810989,5.4156840544519,3.36278574764532,6.09000032463292,û,-7.5857552493556781,81.099861294976535,,,,û
403,,,,Sterilised,ml,132.740403693917,134.286410495327,132.756582945451,127.636861487633,124.932743757986,121.193650954936,117.458139270214,112.891667762358,111.622880096085,106.325490775934,100.807036033936,129.463718458544,112.145821641496,94.985006364003,86.4619104240258,70.3726656078762,55.8824130580556,48.2638119761292,52.130800231636,34.8752595526509,39.2281726745797,33.2763650068467,32.7534106299323,26.9036923862151,30.6613593540943,23.9627205107123,27.7517642954606,25.93033331095668,21.101673039553702,4.6070596049048325,4.9461719082025795,5.1869229747753947,4.0521370204608935,2.3894934982952898,2.51795934223155,1.8575341236168816,1.0826969891960547,2.4561490573256806,2.04146764993403,0.89018668334502,2.23229913015611,1.00085575921382,0.838408259981508,0.4564470600661,1.49183511760559,0,0.202563743851393,0,û,-100,-100,,,,û
404,,,,Pasteurised/ homogenised,ml,2495.51958944564,2524.58451731216,2495.82375937448,2399.57299596749,2348.73558265014,2278.4406379528,2208.21301828002,2122.36335393232,2098.5101458064,1998.91922658757,1912.65693246526,1718.5127403454,1565.01324071526,1496.82125793497,1392.75787625069,1278.50216062201,1149.5397671428,1028.59334167441,903.579325088502,822.305832389736,784.903558632645,740.075012936717,680.437180451992,655.058233127051,635.222957571373,584.423445869437,616.421301615178,564.7836892937861,528.89156125419549,559.43560656743091,461.08648744726867,443.67147199670922,461.96877296116918,407.10669953719122,399.021442794676,399.89309758697226,343.4614295018286,348.6620234150476,291.945808953396,281.794920751894,257.966639577839,306.358878970017,310.447643886157,297.101622391328,289.060104158984,323.410390622538,298.565285475284,304.888745670491,ü,5.4758997467186834,2.1179489052589835,,,,üü
501,,,School milk (d),,ml,16.9449917850792,10.4735551708269,11.3977948230659,12.9735585616827,11.3124719781512,12.2853977405325,12.7423112887504,20.6028081733182,19.090133416663,33.3649733166441,31.1713160372695,34.3270233729481,41.1390573685362,33.9105650817476,25.6569972498196,21.9731486410926,18.3245049392189,12.7401458924143,17.49897625667,20.0313627330608,18.5571156135255,19.3383469347028,13.7958341711828,11.8935905801811,13.1170406402653,12.8445995944061,11.5205820873349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,,Welfare milk (i),,ml,14.9136498260181,18.6972355271799,12.5866804508687,12.9980832470545,12.6821434732637,13.4946986366923,8.63842574446105,8.2254557345947,6.27029648127095,11.6263220375635,5.23863342873332,10.0896966316018,10.5747570234528,12.1487281108212,8.37952551081468,5.48461149742905,7.14092371501207,9.40952458514611,17.5392139160719,17.3519291032756,16.6762922414836,13.9168932254193,11.809085259146,16.3560293820891,13.361065933823,16.8873321273978,14.8380742238815,10.260840069450047,16.124082554342049,17.456733159360471,12.496702595276396,14.846587887038641,12.380075417948623,11.429856098548635,9.56632579654705,8.8044356219713116,,,,,,,,,,,,,,,,,,,
9017,,Other milk and cream,,,ml,291.329888156599,272.304115970759,282.262937122586,275.984432137807,286.752395104105,315.36512324089,316.094952161481,325.02943860995,319.834776045306,350.200140375787,461.852159310632,509.93451669047,688.004516056623,735.109360143871,825.174413207591,917.428665109609,992.438039874052,1084.61072861615,1295.48927041119,1347.34873050773,1388.33203752891,1426.67603955763,1392.38138083267,1448.22428862048,1421.9181700753,1439.44952132579,1483.96092388623,1424.1951672438427,1434.8364130378998,1439.0643089552091,1498.8984814813125,1552.0437450565228,1531.8933103598413,1551.6867811900422,1537.11068116856,1582.7606643810086,1545.0531464979715,1549.0585101713659,1603.70065248099,1561.53570416878,1585.69080592399,1514.82732813702,1490.06445727665,1518.93006111652,1489.02391915105,1510.78432275226,1443.45477879735,1479.64256437131,üüü,-0.6300338536596477,2.5070259287312355,,,,üüü
15,,,Skimmed milks,,ml,5.28581637817766,5.56927434385655,4.722650938493,5.90175319682054,9.41433477560086,10.8961619851125,15.7880745150959,28.6714765426081,37.6064683683503,71.5388406965798,189.883001526145,248.934866485567,407.28332337557,456.715254112431,538.836373984004,635.948581468006,724.685700075996,794.598161032277,984.992448334198,1053.1374343902,1092.47502044743,1126.53775173682,1090.37577233349,1159.44129720522,1134.47172726907,1150.16279358609,1158.97821339862,1090.7614429237108,1084.613646915037,1080.5817584735723,1133.1965610714947,1166.8710358214996,1136.5537103236441,1154.3585509733366,1145.22432704145,1156.2053107869983,1156.1658399452376,1151.0635755712719,1209.47432274003,1151.55297233744,1198.27275244605,1108.17385684208,1085.26623683208,1095.14692955929,1057.62492879431,1066.97760137934,1024.49855513405,1014.53807332778,üüü,-4.0739258591086411,-0.97222995155626002,,,,üüü
1502,,,,Fully skimmed milk,ml,2.11432655127107,2.22770973754262,1.8890603753972,2.36070127872822,3.76573391024034,4.35846479404501,6.31522980603836,11.4685906170432,15.0425873473401,28.6155362786319,75.9532006104581,99.5739465942268,163.350063443504,177.556225973447,181.536525421803,195.696517190291,198.575717543567,203.809345095324,218.434924293666,223.056754527725,212.499819883405,210.185441969875,138.309695417262,159.483508370093,165.400392676455,168.491776895578,165.237433239874,159.79720589165319,165.86211546997339,154.37304385683862,157.9772223590461,159.01198933203102,162.65579129311283,172.5783958377171,158.346508034161,165.1969481735488,171.64154599913985,167.41031025633339,158.168555421516,155.328387016067,153.66904826743,144.246021151425,140.357506914596,144.674912171016,133.274781315061,164.086044982498,144.009895285924,148.324572326327,ü,11.292302161568607,2.9960976166508906,,,,üü
1503,,,,Semi-skimmed milk,ml,3.1714898269066,3.34156460631393,2.8335905630958,3.54105191809233,5.64860086536052,6.53769719106752,9.47284470905753,17.2028859255648,22.5638810210102,42.9233044179479,113.929800915687,149.36091989134,243.933259932066,279.159028138984,357.299848562201,440.252064277714,526.109982532429,590.788815936952,766.557524040532,830.080679862471,879.975200564021,916.352309766946,952.06607691623,999.957788835123,969.07133459262,981.671016690512,993.740780158748,930.96423703205767,918.75153144506567,926.20871461673744,975.21933871245051,1007.8590464894679,973.89791903053219,981.78015513561911,986.877819007289,991.00836261345103,984.5242939460976,983.65326531493758,1051.30576731852,996.224585321375,1044.60370417862,963.927835690652,944.90872991748,950.472017388279,924.350147479251,902.891556396843,880.48865984813,866.213501001454,üü,-6.2894614812728991,-1.6212768542798035,,,,üüü
901,,,Condensed or evaporated milk,,eq ml,146.948904707024,130.720372175439,136.524944031274,125.56209535162,104.010468006637,115.306093522813,108.893839167505,94.2338412423313,81.9584783385801,71.5918093758915,63.0447225481932,56.6974395500688,55.6380020192237,52.9350356228591,52.6907559725621,49.4194349263,37.4972811521614,40.4653218791274,38.1950105533289,33.7134125782052,31.5825674219004,32.4104702418855,29.6700690146377,24.5451604203788,22.4035163109974,23.2724150157317,26.6557058765592,19.802530920754077,20.520804700014335,17.72687881093821,20.019641126370484,18.616603223017872,18.395767041506925,18.3108555841306,17.1912092275823,16.383041765716417,16.341903547869379,18.231030692688964,17.3748818431434,24.9067574190605,17.3469463242654,14.4238270117167,14.7038862763747,22.7034259590387,16.5202584126954,14.1762963178405,12.5479079641388,14.6386662267764,,-11.389605046813706,16.662205912036558,,,," "
11,,,Infant milks,,eq ml,36.5519113542978,31.8731545347744,30.3293689251426,21.5176994403828,31.6771233197408,40.5407999492434,32.2188513376938,32.2692497182612,28.5419305442078,30.2134377884102,26.5325042881289,28.1585174132635,28.741754119893,27.5023019443838,30.5876135688792,33.0987017536286,36.765836733161,32.39371111675,30.0985466829014,28.6447181500605,33.4148175330415,38.139901102758,41.3063816318368,36.3771576453013,27.4974899495154,22.9300287427651,37.7755286177003,43.970971492208584,38.856662760859152,37.530658874913534,42.834416372182964,40.235391386925407,47.371693784063773,58.51625438732615,47.0522827489442,69.171665325497969,48.391172668723776,59.357551576144061,52.7838154934848,66.5683341936933,45.2842940897645,66.1934682726686,63.179914796212,49.7459348188551,51.6506646453439,58.7229335943133,49.6508392815253,24.3437772021625,,-52.868414435094756,-50.970059007198614,yes,m,," "
1102,,,,Infant or baby milks - ready to drink,eq ml,3.65519113542978,3.18731545347744,3.03293689251426,2.15176994403828,3.16771233197407,4.05407999492434,3.22188513376938,3.22692497182612,2.85419305442078,3.02134377884102,2.65325042881289,2.81585174132635,2.8741754119893,2.75023019443838,3.05876135688792,3.30987017536286,3.6765836733161,3.239371111675,3.00985466829014,2.86447181500605,3.34148175330415,3.8139901102758,4.13063816318368,3.63771576453013,2.74974899495154,2.29300287427651,3.77755286177003,1.0010250026547676,1.5091909927118516,2.3738904307838999,3.0942878163738894,3.3753870041517255,4.6712462838620974,4.7694920151375841,3.90214100154351,4.9524400215909106,5.5018291299003632,4.2064951541568032,4.97411893667763,5.35611483534268,3.90283328383624,6.63024669744725,6.7387792280949,2.93325097441998,5.13927359520187,2.82723898716667,2.2699277962673,3.69673849610402,û,-28.068851995827394,62.857096255792214,,,,û
1103,,,,Infant or baby milks - dried,eq ml,32.896720218868,28.6858390812969,27.2964320326283,19.3659294963445,28.5094109877667,36.4867199543191,28.9969662039244,29.0423247464351,25.687737489787,27.1920940095692,23.8792538593161,25.3426656719371,25.8675787079037,24.7520717499454,27.5288522119913,29.7888315782658,33.0892530598449,29.154340005075,27.0886920146112,25.7802463350544,30.0733357797374,34.3259109924822,37.1757434686531,32.7394418807712,24.7477409545638,20.6370258684886,33.9979757559303,42.969946489553806,37.34747176814728,35.156768444129618,39.740128555809058,36.86000438277371,42.700447500201683,53.746762372188563,43.1501417474007,64.219225303907052,42.889343538823404,55.151056421987256,47.8096965568072,61.2122193583507,41.3814608059283,59.5632215752213,56.4411355681171,46.8126838444351,46.511391050142,55.8956946071466,47.380911485258,20.6470387060584,,-55.608640722442189,-56.423297782098416,yes,m,," "
